"ATIV_SQ_ATIVIDADE","ATIV_CD_ATIVIDADE","ATIV_NM_ATIVIDADE"
"305","P500150","OPERACAO COM BAP/BOP 6"
"306","P800100","OPERACAO COM BOP/ANMH"
"307","R100720","PERFILAGEM"
"308","P200250","PERFILAGEM 10 5/8"""
"309","P200240","PERFILAGEM 10 5/8"" FINAL"
"310","P200230","PERFILAGEM 10 5/8"" X 12 1/4"""
"311","P200180","PERFILAGEM 12 1/4"""
"312","D01530","PERFILAGEM 12 1/4"""
"313","P200210","PERFILAGEM 12 1/4"" FINAL"
"314","D01536","PERFILAGEM 12 1/4"" FINAL"
"315","P200200","PERFILAGEM 12 1/4"" INTERMEDIARIA"
"316","P200190","PERFILAGEM 12 1/4"" PILOTO"
"317","P200220","PERFILAGEM 12 3/4"""
"318","P200170","PERFILAGEM 14 3/4"""
"319","D01540","PERFILAGEM 14 3/4"""
"320","P200160","PERFILAGEM 14"""
"321","P200140","PERFILAGEM 16 1/2"""
"322","P200145","PERFILAGEM 16 1/2"" FINAL"
"323","P200150","PERFILAGEM 16"""
"324","D01390","PERFILAGEM 16"""
"325","P200130","PERFILAGEM 17 1/2"""
"326","D01320","PERFILAGEM 17 1/2"""
"327","P200135","PERFILAGEM 17 1/2"" FINAL"
"328","P200110","PERFILAGEM 18 1/2"""
"329","P200120","PERFILAGEM 18 1/8"""
"330","P200100","PERFILAGEM 22"""
"331","P200380","PERFILAGEM 5 7/8"""
"332","P200360","PERFILAGEM 6 1/8"""
"333","P200370","PERFILAGEM 6"""
"334","P200320","PERFILAGEM 8 1/2"""
"335","D01630","PERFILAGEM 8 1/2"""
"336","D01634","PERFILAGEM 8 1/2"""
"337","D01634-A","PERFILAGEM 8 1/2"""
"338","P200350","PERFILAGEM 8 1/2"" FINAL"
"339","P200340","PERFILAGEM 8 1/2"" INTERMEDIARIA"
"340","E01600PE","PERFILAGEM 8 1/2"" INTERMEDIARIA"
"341","D01634PI","PERFILAGEM 8 1/2"" INTERMEDIARIA"
"342","P200320PI","PERFILAGEM 8 1/2"" INTERMEDIARIA"
"343","P200330","PERFILAGEM 8 1/2"" PILOTO"
"344","P200300","PERFILAGEM 8 3/4"""
"345","P200310","PERFILAGEM 8 3/4"" FINAL"
"346","P200260","PERFILAGEM 9 1/2"""
"347","D01640","PERFILAGEM 9 1/2"""
"348","P200270","PERFILAGEM 9"""
"349","P200290","PERFILAGEM 9"" FINAL"
"350","P200280","PERFILAGEM 9"" INTERMEDIARIA"
"351","A100140","PERFILAGEM DE PRODUCAO"
"352","C200150","PERFILAGEM DE PRODUCAO"
"353","R100740","PERFILAGEM DE PRODUCAO"
"354","P200400","PERFILAGEM DESVIO 12 1/4"""
"355","D01530D","PERFILAGEM DESVIO 12 1/4"""
"356","P200390","PERFILAGEM DESVIO 14 3/4"""
"357","D01540D","PERFILAGEM DESVIO 14 3/4"""
"358","E01511PERFIL","PERFILAGEM INTERMEDIARIA 12 1/4"""
"359","D01510PERFIL","PERFILAGEM INTERMEDIARIA 12 1/4"""
"360","D01635","PERFILAGEM PILOTO 8 1/2"""
"361","R100760","PERFILAGEM PLT"
"362","P100550","PERFURACAO 10 5/8"""
"363","P100540","PERFURACAO 10 5/8"" COM ALARGADOR 12 1/4"""
"364","P200540","PERFURACAO 10 5/8"" X 12 1/4"""
